Samples,TVC,Pseudomonads,Br. thermosphacta,LAB 5.7,LAB 5.2,Enterobacteriaceae 
F1a,2.8897845202,1.4126632655,1.4126632655,0.4126632655,0.4126632655,1.0147232568
F1b,3.3157532525,1.4126632655,1.4126632655,1.0147232568,1.1116332698,1.0147232568
0F3,3.8102555603,2.1512238929,2.6251040838,1.5278877262,1.2664483535,1.3224352333
0F4,2.8897845202,2.5354195994,2.1027688863,1.5631782633,1.0278877262,0.4126632655
0F5,3.1261627449,2.6116332698,2.3017388907,1.1512238929,1.4628485381,0.4126632655
0F7,4.1423595094,4.0827663055,3.9542353371,2.681572813,1.5631782633,0.4126632655
0F8,3.8157532525,3.364208259,2.6090117421,1.8799124911,1.4015250681,0.4126632655
0F9,4.5655860564,4.7577347144,4.4578275689,2.0431756825,1.8674412801,0.4126632655
0F10,5.3789001478,4.8657229943,5.0939045029,2.543627602,2.3130561607,0.4126632655
0F11,6.6782174312,6.9682945223,5.591630689,2.7608414599,2.7545468962,0.8352122855
0F12,5.864208259,6.3413295137,5.826347902,2.3925654237,2.1179675368,1.1512238929
0F14,8.0189860839,8.0505492156,7.099119267,3.4264603714,1.7812595868,0.4126632655
0F16,8.7114944073,8.6863044195,8.4818146146,2.794811123,4.033057662,1.1908145159
5F2,3.6923172709,3.1369391351,2.6167832481,1.5887545245,1.4540559507,0.8897845202
5F3,3.670997045,4.4918445115,2.7928745072,1.4540559507,1.2577613055,0.4126632655
5F4,4.1194807641,5.5587913012,4.2515123562,1.6431121869,2.4126632655,1.4918445115
5F5,5.4379304753,6.0081594873,5.3917561661,3.0658757793,2.9040249593,1.4918445115
5F6,6.6738266859,7.0939045029,5.6353797366,2.8106032742,1.4126632655,1.1908145159
5F7,6.8017388907,6.6914168664,6.2577613055,3.8440270297,3.4420470432,2.0147232568
5F8,8.3437289551,8.5556780657,7.3047578682,4.6679357706,4.6379725472,2.1116332698
5F9,9.7531028527,9.5095732785,7.8157837867,5.1369391351,4.8897845202,3.7531073803
5F11,9.4481437234,9.0147232568,8.7724987478,5.9689657663,5.3717046578,5.2387380682
10F2,4.1494067505,3.2639216142,3.3157532525,2.5858495339,2.5397680639,0.7136932612
10F4,4.3157532525,2.8750612634,3.381146214,2.2699957619,2.3420821912,1.3669057749
10F5,4.6488952138,4.3857911191,3.9567313098,3.1979931005,3.1608512925,1.8106032742
10F6,4.5737729129,5.3047578682,5.3047578682,1.9567313098,2.0461317211,2.3949344985
10F7,6.8727249286,4.6167832481,5.7451017254,3.4918445115,3.4540559507,2.9178132438
10F9,6.3352122855,5.7743911015,5.7136932612,4.2699957619,4.4126632655,3.6982205745
10F12,8.0846628,7.9808649896,7.2255766221,5.1908145159,4.8897845202,5.4255004902
10F14,7.450764956,7.5858495339,7.2759861256,5.5332371967,6.542997034,4.4540559507
10F16,8.3461021727,8.6481917124,7.3521825181,5.9689657663,5.4918445115,5.3669057749
10F18,8.7756190816,9.0658757793,8.465741709,6.6679357706,6.6914168664,6.5887545245
15F4,3.9679581206,2.8897845202,3.8440270297,2.5060849507,2.4500897634,2.1450570253
15F5,4.4849503693,2.0147232568,5.2759861256,2.3717046578,2.4038893412,2.5887545245
15F6,5.461118272,4.7928745072,4.9924468621,3.9604379709,3.8969631048,3.2120038149
15F7,5.610762939,5.2577613055,5.3669057749,4.077305241,4.3994349998,3.0359125559
15F8,5.6166474887,5.7928745072,4.6679357706,4.7451017254,4.7531073803,2.6914168664
15F9,7.1889973735,7.0254471222,6.7570555392,5.6936966327,5.7049193368,4.3317413579
15F10,7.4388178153,7.5025683769,6.205054955,5.9913024755,5.9338013492,6.7928745072
15F11,7.744424213,7.4540559507,7.2120038149,6.6507093686,6.465741709,6.0754210972
15F13,8.8125195867,8.8780461169,8.3047578682,6.8750612634,6.9311772054,7.056115942
15F16,8.9593741081,8.5587913012,7.7136932612,7.0461317211,6.9567313098,6.9441421825
15F19,9.1549555301,9.5740312677,9.3669057749,7.153025955,7.1450570253,7.3047578682
20F3,3.9903312842,2.9808649896,2.1116332698,1.8598212968,1.6431121869,1.0147232568
20F4,3.9019817397,4.0254471222,1.7136932612,2.6001839863,2.7004649954,1.5266066178
20F5,5.3969047398,5.9689657663,4.7743911015,4.1028593455,4.0359125559,3.2451721782
20F7,7.1563031737,6.5462021739,6.2699957619,5.0348772885,5.0551277857,4.7837311278
20F8,7.3106380149,7.0687614675,7.2470839692,5.0359125559,5.6085629179,5.5462021739
20F9,7.7420027798,7.2341767939,6.5740312677,5.8106032742,5.6774810885,5.959205929
20F10,8.1457262007,7.864449701,7.2451721782,5.9123503481,5.894105894,7.0147232568
20F13,9.0556668265,8.0147232568,7.4038893412,6.3317413579,6.2120038149,7.9150903855
20F16,9.4320528003,9.0939045029,7.6532125138,6.4990230962,6.4420470432,8.1202334416
